# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# Tion: Kinetic energy of ions
# Temperature_ion: Temperature of ions
# E_work: Work energy of ions(sum f*dr)
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] # 4:Tion[eV] 5:Temperature_ion[K] 6:E_work[eV] 
      0.00000000 -0.233299435513041E+005  0.000000000000000E+000   0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000 
      0.02000000 -0.233299436526663E+005 -0.101362219032409E-003   0.103262295768338E-003  0.369848651834902E-002 -0.103262302141146E-003 
      0.04000000 -0.233299439566392E+005 -0.405335119141332E-003   0.413054007611787E-003  0.147941188711266E-001 -0.413054030192487E-003 
      0.06000000 -0.233299444632385E+005 -0.911934431162337E-003   0.929373465810590E-003  0.332868372549363E-001 -0.929373510005941E-003 
      0.08000000 -0.233299451724470E+005 -0.162114290222031E-002   0.165221261881422E-002  0.591763532920034E-001 -0.165221268731580E-002 
      0.10000000 -0.233299460842445E+005 -0.253294040241415E-002   0.258156204834279E-002  0.924623296531898E-001 -0.258156214166126E-002 
      0.12000000 -0.233299471986092E+005 -0.364730513440515E-002   0.371741375778924E-002  0.133144479928600E+000 -0.371741387545010E-002 
      0.14000000 -0.233299485155160E+005 -0.496421186698486E-002   0.505976047229196E-002  0.181222543558681E+000 -0.505976061419787E-002 
      0.16000000 -0.233299500349331E+005 -0.648362899927121E-002   0.660859355893789E-002  0.236696211343329E+000 -0.660859372578460E-002 
      0.18000000 -0.233299517568195E+005 -0.820551535885701E-002   0.836390001737754E-002  0.299565017656471E+000 -0.836390021128576E-002 
      0.20000000 -0.233299536811213E+005 -0.101298172134152E-001   0.103256595383554E-001  0.369828235093131E+000 -0.103256597624119E-001 
      0.22000000 -0.233299558077726E+005 -0.122564684686878E-001   0.124938438230840E-001  0.447484850091841E+000 -0.124938440809579E-001 
      0.24000000 -0.233299581366967E+005 -0.145853925679418E-001   0.148684188908420E-001  0.532533645584568E+000 -0.148684191858028E-001 
      0.26000000 -0.233299606678092E+005 -0.171165050689179E-001   0.174493485025561E-001  0.624973323617167E+000 -0.174493488370934E-001 
      0.28000000 -0.233299634010188E+005 -0.198497146770855E-001   0.202365964885404E-001  0.724802588720716E+000 -0.202365968642068E-001 
      0.30000000 -0.233299663362264E+005 -0.227849222556980E-001   0.232301270893018E-001  0.832020160117921E+000 -0.232301275074247E-001 
      0.32000000 -0.233299694733232E+005 -0.259220191397936E-001   0.264299035864020E-001  0.946624722685510E+000 -0.264299040482126E-001 
      0.34000000 -0.233299728121895E+005 -0.292608853450150E-001   0.298358863499256E-001  0.106861485702149E+001 -0.298358868569164E-001 
      0.36000000 -0.233299763526926E+005 -0.328013884879509E-001   0.334480312976168E-001  0.119798898425694E+001 -0.334480318516276E-001 
      0.38000000 -0.233299800946875E+005 -0.365433833901583E-001   0.372662889886324E-001  0.133474533359751E+001 -0.372662895918679E-001 
      0.40000000 -0.233299840380165E+005 -0.404867124277367E-001   0.412906041900278E-001  0.147888192679644E+001 -0.412906048449413E-001 
      0.42000000 -0.233299881825106E+005 -0.446312064594010E-001   0.455209163542323E-001  0.163039659525605E+001 -0.455209170633964E-001 
      0.44000000 -0.233299925279909E+005 -0.489766868125575E-001   0.499571608374113E-001  0.178928702366514E+001 -0.499571616031894E-001 
      0.46000000 -0.233299970742702E+005 -0.535229661031016E-001   0.545992700126605E-001  0.195555078986961E+001 -0.545992708374994E-001 
      0.48000000 -0.233300018211541E+005 -0.582698500389727E-001   0.594471741509161E-001  0.212918539642350E+001 -0.594471750369061E-001 
      0.50000000 -0.233300067684422E+005 -0.632171380667118E-001   0.645008016944965E-001  0.231018828038630E+001 -0.645008026436050E-001 
      0.52000000 -0.233300119159279E+005 -0.683646237612520E-001   0.697600790601346E-001  0.249855680626828E+001 -0.697600800742212E-001 
