# Real time calculation: 
# Ac_ext: External vector potential field
# E_ext: External electric field
# Ac_tot: Total vector potential field
# E_tot: Total electric field
# Jm: Matter current density (electrons)
# 1:Time[fs] 2:Ac_ext_x[fs*V/Angstrom] 3:Ac_ext_y[fs*V/Angstrom] 4:Ac_ext_z[fs*V/Angstrom] 5:E_ext_x[V/Angstrom] 6:E_ext_y[V/Angstrom] 7:E_ext_z[V/Angstrom] 8:Ac_tot_x[fs*V/Angstrom] 9:Ac_tot_y[fs*V/Angstrom] 10:Ac_tot_z[fs*V/Angstrom] 11:E_tot_x[V/Angstrom] 12:E_tot_y[V/Angstrom] 13:E_tot_z[V/Angstrom]  14:Jm_x[1/fs*Angstrom^2] 15:Jm_y[1/fs*Angstrom^2] 16:Jm_z[1/fs*Angstrom^2] 
      0.00200000  0.000000000000000E+000  0.000000000000000E+000 -0.929339497982944E-032  0.000000000000000E+000  0.000000000000000E+000  0.464669765538205E-029  0.000000000000000E+000  0.000000000000000E+000 -0.929339497982944E-032  0.000000000000000E+000  0.000000000000000E+000  0.464669765538205E-029  -0.944348815671473E-010  0.498745907090625E-011  0.122391219155121E-010 
      0.00400000  0.000000000000000E+000  0.000000000000000E+000 -0.440798310367814E-029  0.000000000000000E+000  0.000000000000000E+000  0.219934493266709E-026  0.000000000000000E+000  0.000000000000000E+000 -0.440798310367814E-029  0.000000000000000E+000  0.000000000000000E+000  0.219934493266709E-026  -0.102772605173604E-009  0.745834782839394E-011  0.141460499413056E-010 
      0.00600000  0.000000000000000E+000  0.000000000000000E+000 -0.164966804407407E-027  0.000000000000000E+000  0.000000000000000E+000  0.802794135105874E-025  0.000000000000000E+000  0.000000000000000E+000 -0.164966804407407E-027  0.000000000000000E+000  0.000000000000000E+000  0.802794135105874E-025  -0.110748052374755E-009  0.145242080023386E-010  0.121294489220009E-010 
      0.00800000  0.000000000000000E+000  0.000000000000000E+000 -0.216713021448394E-026  0.000000000000000E+000  0.000000000000000E+000  0.100108174068645E-023  0.000000000000000E+000  0.000000000000000E+000 -0.216713021448394E-026  0.000000000000000E+000  0.000000000000000E+000  0.100108174068645E-023  -0.117093253640081E-009  0.243582815191733E-010  0.957511928051820E-011 
      0.01000000  0.000000000000000E+000  0.000000000000000E+000 -0.160121863709449E-025  0.000000000000000E+000  0.000000000000000E+000  0.692252832473939E-023  0.000000000000000E+000  0.000000000000000E+000 -0.160121863709449E-025  0.000000000000000E+000  0.000000000000000E+000  0.692252832473939E-023  -0.121864743901733E-009  0.323914638154397E-010  0.850182910256234E-011 
      0.01200000  0.000000000000000E+000  0.000000000000000E+000 -0.821560501158773E-025  0.000000000000000E+000  0.000000000000000E+000  0.330719330501465E-022  0.000000000000000E+000  0.000000000000000E+000 -0.821560501158773E-025  0.000000000000000E+000  0.000000000000000E+000  0.330719330501465E-022  -0.126527846514895E-009  0.350606929384754E-010  0.813306083510687E-011 
      0.01400000  0.000000000000000E+000  0.000000000000000E+000 -0.327641121024109E-024  0.000000000000000E+000  0.000000000000000E+000  0.122742539824936E-021  0.000000000000000E+000  0.000000000000000E+000 -0.327641121024109E-024  0.000000000000000E+000  0.000000000000000E+000  0.122742539824936E-021  -0.132288494869419E-009  0.328783057725263E-010  0.658519964060973E-011 
      0.01600000  0.000000000000000E+000  0.000000000000000E+000 -0.108640068710453E-023  0.000000000000000E+000  0.000000000000000E+000  0.379379796549796E-021  0.000000000000000E+000  0.000000000000000E+000 -0.108640068710453E-023  0.000000000000000E+000  0.000000000000000E+000  0.379379796549796E-021  -0.138439442914783E-009  0.298342865959084E-010  0.347272358207749E-011 
      0.01800000  0.000000000000000E+000  0.000000000000000E+000 -0.312832031566774E-023  0.000000000000000E+000  0.000000000000000E+000  0.102095985063764E-020  0.000000000000000E+000  0.000000000000000E+000 -0.312832031566774E-023  0.000000000000000E+000  0.000000000000000E+000  0.102095985063764E-020  -0.142565719931924E-009  0.296715330639375E-010  0.462077468858883E-012 
      0.02000000  0.000000000000000E+000  0.000000000000000E+000 -0.805890097680050E-023  0.000000000000000E+000  0.000000000000000E+000  0.246529041835453E-020  0.000000000000000E+000  0.000000000000000E+000 -0.805890097680050E-023  0.000000000000000E+000  0.000000000000000E+000  0.246529041835453E-020  -0.142565014688208E-009  0.325775986553726E-010 -0.745255811613592E-012 
      0.02200000  0.000000000000000E+000  0.000000000000000E+000 -0.189714763413294E-022  0.000000000000000E+000  0.000000000000000E+000  0.545628787656103E-020  0.000000000000000E+000  0.000000000000000E+000 -0.189714763413294E-022  0.000000000000000E+000  0.000000000000000E+000  0.545628787656103E-020  -0.138548601759170E-009  0.353551905095710E-010 -0.600603837619079E-012 
      0.02400000  0.000000000000000E+000  0.000000000000000E+000 -0.414568825340888E-022  0.000000000000000E+000  0.000000000000000E+000  0.112427034967286E-019  0.000000000000000E+000  0.000000000000000E+000 -0.414568825340888E-022  0.000000000000000E+000  0.000000000000000E+000  0.112427034967286E-019  -0.132755833877310E-009  0.347139799881498E-010 -0.144379441426816E-011 
      0.02600000  0.000000000000000E+000  0.000000000000000E+000 -0.851012520477496E-022  0.000000000000000E+000  0.000000000000000E+000  0.218221855339110E-019  0.000000000000000E+000  0.000000000000000E+000 -0.851012520477496E-022  0.000000000000000E+000  0.000000000000000E+000  0.218221855339110E-019  -0.127569751550461E-009  0.303913503226860E-010 -0.486013695879145E-011 
